Q14942930	Wikimedia subject-area collaboration
Q6013315	diplomatic relations between the Kingdom of Spain and the Republic of Turkey
Q8920536	Wikimedia category
Q96335105	Chinese journal
Q18001598	name: given name and family name
Q1474542	function that takes one or more functions as an input or that outputs a function
Q133346	legal boundary between two geographic regions
Q36465	powder which is made by grinding cereal grains
Q13360004	Wikimedia category
Q250811	People's Republic of China government subdivision level
Q84080786	Wikimedia category
Q11582	unit of volume accepted for use with the SI
Q2151621	industries involved in producing, selling, and distributing energy (in all forms, e.g. petroleum, natural gas, coal, peat, firewood, nuclear energy, solar energy, hydroelectic energy, wind energy, geothermal energy)
Q101761	device for fastening the edges of an opening of fabric or other flexible material
Q524818	genus of protozoan parasites
Q256458	part of clothing that covers the arms
Q8341	musical genre and theory
Q204170	lack of light
Q9742476	Wikimedia category
Q16567	capital city of Ohio, United States
Q670	chemical element with symbol Si and atomic number 14
Q11173	pure chemical substance consisting of two or more different chemical elements
Q7170443	album by Panda Bear
Q1403517	parameter characterizing the dispersion of quantity values of a measurand
Q9632042	Wikimedia category
Q5624848	Wikimedia template
Q16572	capital city of Guangdong Province, China
Q1901835	building, complex of buildings or city from which a government exercises its authority
Q2166735	programming language
Q48797029	WWE brand
Q8193047	type of alcoholic beverage typically used in the preparation of food
Q7727	unit of time
Q7215881	Wikimedia category
Q8963787	Wikimedia category
Q1484064	restraint and punishment device
Q8520954	Wikimedia category
Q3919762	Wikimedia category
Q10343653	collective term of the six Eastern inner annexes of the Forbidden City; official residences of the imperial empresses and concubines
Q3407272	Wikimedia category
Q476807	military tactic or operational warfare mission which has a specific purpose
Q17112053	aspect of history
Q55983715	living organism Wikidata metaclass
Q27678905	Crude drug
Q13418965	Wikimedia disambiguation page
Q52109	scientific study of landforms and the processes that shape them
Q1269	spread made from fruit
Q9648275	Wikimedia category
Q2395542	municipality in the Honduran department of Valle
Q23390	hoofed ruminant mammals forming the family Cervidae
Q8074772	Wikimedia category
Q162668	series of events required for an organism to receive a visual stimulus
Q35197	surface, typically glass coated with a metal amalgam, which reflects a clear image
Q837	country in South Asia
Q49835	regular female companion in a platonic, romantic or sexual relationship
Q141022	astronomical event where one body hides another
Q192781	humanities discipline
Q7645006	Wikimedia template
Q7035910	Wikimedia category
Q7493787	Wikimedia category
Q57821	military constructions and buildings designed for defense in warfare and military bases
Q8504015	Wikimedia subject-area collaboration
Q110458661	putting a playing card or set of cards from one's hand into play
Q3705991	district in San Mateo canton, Alajuela province, Costa Rica
Q535214	family name
Q81163	substance composed of macromolecules with repeating structural units
Q233309	neoplasm in the brain
Q21571488	category in the NMHH rating system
Q3503	river in central Africa
Q599817	artery of the forearm
Q14492698	Wikimedia template
Q1347367	ability to perform an action or fulfill a role
Q18037839	protein-coding gene in the species Homo sapiens
Q8084840	Wikimedia template
Q43	sovereign state spanning Europe and Asia
Q29401270	variety of plant
Q11034997	period of 24 consecutive hours
Q5349143	musical note
Q431603	defines and represents the interests of a particular social group or industry
Q10970373	Wikimedia template
Q22652	green area planned in an urban location
Q23012379	the common edible part of the celery plant
Q19362171	Wikimedia portal
Q43437	facilitation or provision of prostitute
Q8505336	Wikimedia category
Q8492994	Wikimedia category
Q1069725	unit of extent that consists of a single side of a leaf
Q40864	theoretical cloud of planetesimals at the far edge of the solar system
Q9462807	Wikimedia category
Q193622	visible honour awarded to an individual recipient
Q6997821	Wikimedia category
Q16792408	Wikimedia category
Q323466	pattern of human activity and symbolism associated with India and its people
Q25312622	history news
Q12560	former empire in Southeast Europe, Southwest Asia, and North Africa (c. 1299–1922)
Q199687	acquisition of information about an object or phenomenon without making physical contact with the object, especially the Earth
Q34876	administrative division in several countries
Q780	domesticated bird kept by humans primarily as a food source
Q23413	type of fortified structure built in Europe, Asia and the Middle East during the Middle Ages by nobility
Q56056305	unoccupied building
Q219221	Wikimedia disambiguation page
Q2939	geographic features of Canada
Q886167	plant grown for showy or decorative flowers
Q3917681	permanent diplomatic mission of higher level, representing its operator in the country the embassy is in
Q5911510	Wikimedia template
Q57598	designated date on which celebrations mark the nationhood of a nation
Q8444457	Wikimedia category
Q484083	unoxidized tea
Q8460057	Wikimedia category
Q8581325	Wikimedia category
Q2207370	object for sitting on
Q42	English science fiction writer and humourist (1952–2001)
Q11153721	Wikimedia template
Q37147	core of the atom; composed of bound nucleons (protons and neutrons)
Q1444687	history of the academic discipline of statistics
Q845263	company
Q17146837	polite form of address for women, especially in American English
Q9893026	Wikimedia category
Q7466494	Wikimedia category
Q595658	human-powered land vehicle with one or more wheels
Q3635662	last day of the bright lunar fortnight
Q471257	aspect of history
Q1746015	piece of music for piano
Q13196750	relative direction
Q7378	trunk-bearing large mammal
Q3104705	German word for a rifle
Q8413436	Wikimedia category
Q18665330	film content classification given by the Motion Pictures Association of America
Q52120	study of glaciers
Q714269	American politician
Q17493662	economic activity
Q4173974	Food additive used to change the taste or smell of food.
Q257213	Wikimedia disambiguation page
Q225933	American actor
Q47342419	mathematical set containing only the number 0
Q1156686	type of roof
Q162564	sound waves with frequencies above the human hearing range
Q104598080	Wikimedia category
Q7216806	Wikimedia category
Q192613	grammatical tense; pertaining to current time relative to speaker/writer/reader
Q874405	two or more humans who interact with one another
Q4910457	American politician
Q430898	subfamily of mammals
Q6064255	Wikimedia template
Q47074357	2018 song by Justin Timberlake
Q42196	species of marine mammal
Q16938806	direction faced by the front of an item
Q3177438	deep outburst of sound forced through an open mouth
Q2839314	ancient Athenian deme
Q3708001	Wikimedia portal
Q9499516	Wikimedia category
Q8367840	Wikimedia category
Q625902	quantity of dimension one formed by combining quantities describing a system or process
Q83991827	Wikimedia category
Q17457835	electric device to remove body hair
Q9404	part of an animal that coordinates actions and senses
Q918316	aspect of history
Q28231576	overview of and topical guide to Earth
Q1346342	group of languages including English and Scots
Q4773237	overview of and topical guide to culture
